L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
55684,443,6,91.0,60,1,0,0,2,2,0,0,0,0,0,0,60,60,0,60,60.0,0.0,0,0,0,0,480000,0,1,0,0,0,0,29200,0,0,0,0,0,0,0,1,ddos
41112,53,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,18326,1,0,0,1,dos
41413,2680,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
53570,53,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,35490,1,50,0,1,xss
60208,80,6,7.0,1210,12,3028,11,27,27,27,4294069,898,898,64,64,923,40,40,923,616594.0,14941534.0,0,0,0,0,4600000,11904000,17,0,4,2,0,29200,65535,0,0,0,0,0,0,1,injection
62852,6002,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
33866,80,6,7.0,435,5,3195,6,27,27,27,0,0,0,64,64,1500,52,52,1500,435.0,3195.0,0,0,0,0,3480000,25560000,8,1,0,0,2,29200,28960,0,0,0,0,0,0,1,password
52132,443,6,0.0,394,5,3316,11,26,26,26,4294795,172,172,64,64,393,52,52,393,394.0,3316.0,0,0,2751,7,16000,152000,7,1,8,0,0,29200,28960,0,0,0,0,0,0,1,ddos
32930,9495,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
12903,55301,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
37050,80,6,7.0,616,6,1494,5,27,27,27,0,0,0,64,64,923,40,40,923,616.0,1494.0,0,0,0,0,4928000,11952000,8,0,2,1,0,29200,65535,0,0,0,0,0,0,1,xss
59906,53,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,13506,28,0,0,1,xss
60626,80,6,7.0,658,6,538,4,27,27,27,4294951,16,16,64,64,390,52,52,390,658.0,538.0,0,0,0,0,304000,248000,8,0,2,0,0,29200,5792,0,0,0,0,0,0,1,xss
