dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label
5e-06,udp,dns,INT,2,0,114,0,200000.0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,9,0,0,0,0,Generic,1
3e-06,udp,dns,INT,2,0,114,0,333333.3,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,16,0,0,0,0,Generic,1
1.167584,tcp,-,CON,6,2,1012,86,5.995286,5782.882,294.6255,2,1,233.5168,0.001,13675.7295,0.0,255,1497222707,3407537974,255,0.940009,0.560296,0.379713,169,43,0,0,1,1,0,0,0,0,Normal,0
0.486485,tcp,http,FIN,10,8,798,1568,34.94455,11823.592,22561.846,2,2,54.05389,59.95843,2705.531,82.54905,255,101844950,785426226,255,0.138611,0.065983,0.072628,80,196,1,372,1,1,0,0,1,0,Exploits,1
0.072147,udp,-,CON,4,4,568,312,97.02414,47236.895,25947.025,0,0,18.674334,23.547667,26.397474,33.29931,0,0,0,0,0.0,0.0,0.0,142,78,0,0,1,1,0,0,0,0,Normal,0
0.77957,tcp,-,FIN,18,6,12598,268,29.503445,122108.34,2298.7031,6,1,43.29488,144.0234,3285.578,203.20111,255,1193744549,4245614293,255,0.095001,0.059449,0.035552,700,45,0,0,1,1,0,0,0,0,DoS,1
0.994928,tcp,-,FIN,10,6,590,268,15.076468,4269.656,1801.1354,2,1,92.64,185.9328,5212.9585,274.29272,255,3740010572,1924798953,255,0.122952,0.065256,0.057696,59,45,0,0,1,1,0,0,0,0,Normal,0
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,18,0,0,0,0,Generic,1
0.736644,tcp,http,FIN,10,6,874,268,20.362617,8546.869,2432.654,2,1,78.84522,136.4108,4783.798,233.5212,255,2169870278,3502482983,255,0.128651,0.054581,0.07407,87,45,1,0,1,1,0,0,1,0,Reconnaissance,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,17,17,0,0,0,0,Generic,1
1.2e-05,udp,-,INT,2,0,1412,0,83333.33,470666660.0,0.0,0,0,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,706,0,0,0,14,1,0,0,0,0,Fuzzers,1
8e-06,pvp,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Exploits,1
0.102451,tcp,-,FIN,16,18,1540,1644,322.10522,112756.34,121267.734,4,4,6.803533,5.997059,663.1988,19.439001,255,1898693309,1955354774,255,0.000629,0.000495,0.000134,96,91,0,0,9,1,0,0,0,0,Normal,0
0.034961,tcp,-,FIN,78,80,4550,72810,4490.7183,1027888.2,16452619.0,7,33,0.455553,0.440936,23.474546,23.396118,255,2715719169,2720207406,255,0.000687,0.000559,0.000128,58,910,0,0,1,1,0,0,0,0,Normal,0
1.010196,tcp,http,FIN,14,18,1684,10168,30.687115,12385.716,76056.53,3,5,77.68092,59.392296,8766.053,7675.652,255,4292492680,1090709,255,0.000643,0.00052,0.000123,120,565,1,3924,1,1,0,0,1,0,Normal,0
2.85808,tcp,smtp,FIN,34,22,23722,1854,19.243689,64448.863,4954.375,14,8,86.58479,134.25162,7044.6333,207.78195,255,838705727,2909693460,255,0.082468,0.038788,0.04368,698,84,0,0,2,1,0,0,0,0,Exploits,1
0.005501,udp,-,CON,4,4,568,312,1272.4958,619523.7,340301.75,0,0,1.482,1.060667,2.088087,1.494353,0,0,0,0,0.0,0.0,0.0,142,78,0,0,1,1,0,0,0,0,Normal,0
0.765912,tcp,-,FIN,14,8,6830,354,27.418295,66253.04,3237.97,4,1,53.41254,103.56829,3934.7427,153.1905,255,105762264,1056602516,255,0.116734,0.040926,0.075808,488,44,0,0,1,1,0,0,0,0,Normal,0
0.031888,tcp,-,FIN,68,70,4014,59460,4296.287,992222.75,14704214.0,7,28,0.478258,0.461206,24.861088,24.88162,255,1953309936,1963211535,255,0.000644,0.000524,0.00012,59,849,0,0,1,1,0,0,0,0,Normal,0
0.396578,tcp,-,FIN,10,6,490,268,37.823578,8896.105,4518.6567,2,1,41.672333,65.5686,2328.6133,103.925064,255,153792305,2559248019,255,0.119781,0.068732,0.051049,49,45,0,0,3,2,0,0,0,0,Fuzzers,1
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,25,0,0,0,0,Generic,1
0.646199,tcp,-,FIN,12,10,3044,832,32.49773,34552.824,9272.686,3,2,55.960274,68.33322,3904.5803,111.44491,255,3171236522,2864120680,255,0.081993,0.031197,0.050796,254,83,0,0,1,1,0,0,0,0,Fuzzers,1
0.004153,tcp,http,FIN,8,10,1040,824,4093.4263,1752949.6,1429328.1,2,2,0.54,0.404444,35.118675,0.745556,255,113391252,114447019,255,0.000641,0.000508,0.000133,130,82,1,83,1,1,0,0,1,0,Normal,0
0.635983,tcp,http,FIN,10,6,808,268,23.585535,9157.478,2817.6853,2,1,66.866776,113.725395,4104.161,194.1179,255,2158708493,2594227442,255,0.161272,0.067347,0.093925,81,45,1,0,1,1,0,0,1,0,Reconnaissance,1
7.6e-05,udp,-,INT,2,0,503,0,13157.8955,26526316.0,0.0,0,0,0.076,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,252,0,0,0,40,40,0,0,0,0,Normal,0
2e-06,udp,dns,INT,2,0,114,0,500000.0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,7,0,0,0,0,Generic,1
0.654195,tcp,-,FIN,10,6,2516,268,22.928944,27698.162,2739.2444,2,1,64.361664,113.164604,3724.962,165.86852,255,3816103136,3766864040,255,0.292945,0.088368,0.204577,252,45,0,0,1,1,0,0,0,0,Fuzzers,1
0.428563,tcp,-,FIN,10,8,558,354,39.667446,9389.518,5786.7803,2,1,43.632557,54.229713,2996.8635,105.066826,255,2701249193,3016292404,255,0.095924,0.04895,0.046974,56,44,0,0,1,1,0,0,0,0,Shellcode,1
9e-06,ipip,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Exploits,1
9e-06,udp,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,1,0,0,0,0,Fuzzers,1
0.483499,tcp,http,FIN,10,6,882,268,31.02385,13137.566,3706.316,2,1,48.54778,81.4124,2534.583,122.62121,255,3187316205,2540881012,255,0.098687,0.076434,0.022253,88,45,1,0,1,1,0,0,1,0,Reconnaissance,1
2e-06,sctp,-,INT,2,0,640,0,500000.0,1280000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,320,0,0,0,1,1,0,0,0,0,Exploits,1
0.004023,tcp,http,FIN,8,10,1058,822,4225.702,1841411.9,1471538.6,2,2,0.525429,0.387333,33.84817,0.704005,255,233963050,234991838,255,0.000656,0.000533,0.000123,132,82,1,82,1,1,0,0,1,0,Normal,0
0.000968,udp,dns,CON,2,2,146,178,3099.1736,603305.8,735537.2,0,0,0.007,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,1,0,0,0,0,Normal,0
0.204289,tcp,-,FIN,12,6,6194,268,83.21545,222351.66,8771.887,3,1,17.175728,39.2648,1017.4516,68.62628,255,930634357,242549517,255,0.052414,0.007962,0.044452,516,45,0,0,1,1,0,0,0,0,Exploits,1
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,4,0,0,0,0,Backdoor,1
8e-06,larp,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,4,0,0,0,0,Fuzzers,1
8e-06,udp,-,INT,2,0,168,0,125000.0,84000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1
0.906131,tcp,http,FIN,10,6,3012,268,16.553898,23934.729,1977.6389,2,1,99.09211,170.7416,6164.0,312.8228,255,2398280220,603643818,255,0.082931,0.052416,0.030515,301,45,1,0,1,1,0,0,1,0,Exploits,1
